date,region,category,product,quantity,unit_price,revenue,cost,profit
2026-01-03,North,Electronics,Laptop Pro 15,12,1299.99,15599.88,9600.00,5999.88
2026-01-03,South,Apparel,Winter Jacket,45,89.99,4049.55,2250.00,1799.55
2026-01-05,East,Electronics,Wireless Earbuds,120,59.99,7198.80,3600.00,3598.80
2026-01-07,West,Home,Standing Desk,28,449.99,12599.72,8400.00,4199.72
2026-01-10,North,Electronics,4K Monitor,35,399.99,13999.65,7000.00,6999.65
2026-01-12,South,Apparel,Running Shoes,88,129.99,11439.12,4400.00,7039.12
2026-01-15,East,Home,Air Purifier,42,199.99,8399.58,4200.00,4199.58
2026-01-18,West,Electronics,Tablet X,55,599.99,32999.45,16500.00,16499.45
2026-01-20,North,Apparel,Hiking Boots,33,159.99,5279.67,1980.00,3299.67
2026-01-22,South,Home,Robot Vacuum,60,349.99,20999.40,12000.00,8999.40
2026-01-25,East,Electronics,Smartwatch,95,249.99,23749.05,9500.00,14249.05
2026-01-28,West,Apparel,Yoga Pants,150,49.99,7498.50,3000.00,4498.50
2026-02-01,North,Electronics,Laptop Pro 15,18,1299.99,23399.82,14400.00,8999.82
2026-02-03,South,Home,Coffee Machine,72,129.99,9359.28,5040.00,4319.28
2026-02-05,East,Apparel,Down Vest,55,99.99,5499.45,2750.00,2749.45
2026-02-08,West,Electronics,Wireless Earbuds,200,59.99,11998.00,6000.00,5998.00
2026-02-10,North,Home,Standing Desk,15,449.99,6749.85,4500.00,2249.85
2026-02-12,South,Electronics,4K Monitor,40,399.99,15999.60,8000.00,7999.60
2026-02-15,East,Apparel,Winter Jacket,30,89.99,2699.70,1500.00,1199.70
2026-02-18,West,Home,Air Purifier,65,199.99,12999.35,6500.00,6499.35
2026-02-20,North,Electronics,Tablet X,48,599.99,28799.52,14400.00,14399.52
2026-02-22,South,Apparel,Running Shoes,110,129.99,14298.90,5500.00,8798.90
2026-02-25,East,Home,Robot Vacuum,38,349.99,13299.62,7600.00,5699.62
2026-02-28,West,Electronics,Smartwatch,85,249.99,21249.15,8500.00,12749.15
2026-03-01,North,Apparel,Hiking Boots,40,159.99,6399.60,2400.00,3999.60
2026-03-03,South,Electronics,Laptop Pro 15,22,1299.99,28599.78,17600.00,10999.78
2026-03-05,East,Home,Coffee Machine,90,129.99,11699.10,6300.00,5399.10
2026-03-08,West,Apparel,Yoga Pants,180,49.99,8998.20,3600.00,5398.20
2026-03-10,North,Electronics,Wireless Earbuds,160,59.99,9598.40,4800.00,4798.40
2026-03-12,South,Home,Standing Desk,25,449.99,11249.75,7500.00,3749.75
2026-03-15,East,Electronics,4K Monitor,50,399.99,19999.50,10000.00,9999.50
2026-03-18,West,Home,Air Purifier,55,199.99,10999.45,5500.00,5499.45
2026-03-20,North,Apparel,Winter Jacket,25,89.99,2249.75,1250.00,999.75
2026-03-22,South,Electronics,Tablet X,62,599.99,37199.38,18600.00,18599.38
2026-03-25,East,Apparel,Running Shoes,95,129.99,12349.05,4750.00,7599.05
2026-03-28,West,Electronics,Smartwatch,110,249.99,27498.90,11000.00,16498.90
2026-03-30,North,Home,Robot Vacuum,48,349.99,16799.52,9600.00,7199.52
2026-03-31,South,Apparel,Down Vest,70,99.99,6999.30,3500.00,3499.30
